X,Y,Z
3.37615,1.54031,25.8051
3.39731,1.543,26.0633
3.4164,1.54332,26.3349
3.43315,1.54116,26.617
3.44735,1.53646,26.906
3.45879,1.52919,27.1985
3.4673,1.51935,27.4904
3.47272,1.50698,27.7778
3.47497,1.49216,28.0567
3.47398,1.47503,28.3229
3.46973,1.45576,28.5726
3.46224,1.43456,28.8021
3.45159,1.41168,29.0081
3.43788,1.38743,29.1876
3.42129,1.36212,29.3384
3.40199,1.33609,29.4585
3.38023,1.30971,29.5466
3.35627,1.28334,29.6022
3.33038,1.25736,29.6249
3.30289,1.2321,29.6154
3.2741,1.20793,29.5745
3.24437,1.18514,29.5036
3.21403,1.16403,29.4045
3.18342,1.14483,29.2792
3.15288,1.12777,29.13
3.12273,1.113,28.9594
3.0933,1.10066,28.7698
3.0649,1.09083,28.564
3.0378,1.08354,28.3444
3.01228,1.07882,28.1136
2.98858,1.07663,27.874
2.96692,1.07691,27.6281
2.9475,1.07957,27.378
2.93048,1.08452,27.126
2.916,1.09161,26.8742
2.90418,1.10072,26.6243
2.8951,1.11169,26.3783
2.88881,1.12437,26.138
2.88535,1.13859,25.9048
2.88472,1.1542,25.6805
2.88689,1.17103,25.4666
2.89183,1.18893,25.2643
2.89947,1.20776,25.0753
2.90973,1.22735,24.9007
2.92251,1.24756,24.7419
2.93769,1.26826,24.6002
2.95514,1.28931,24.4767
2.97471,1.31056,24.3727
2.99624,1.33187,24.2893
3.01955,1.35313,24.2275
3.04445,1.37417,24.1884
3.07075,1.39485,24.1728
3.09822,1.41504,24.1816
3.12664,1.43456,24.2155
3.15577,1.45326,24.275
3.18536,1.47098,24.3604
3.21513,1.48754,24.4719
3.24482,1.50277,24.6094
3.27413,1.51648,24.7724
3.30278,1.52849,24.9602
3.33047,1.53863,25.1717
3.35689,1.54671,25.4055
3.38174,1.55258,25.6595
3.40473,1.55607,25.9316
3.42557,1.55705,26.219
3.44398,1.55541,26.5185
3.45973,1.55107,26.8266
3.47257,1.54397,27.1393
3.48231,1.53411,27.4526
3.48879,1.5215,27.7621
3.49188,1.50624,28.0633
3.49152,1.48844,28.3519
3.48766,1.46828,28.6234
3.48033,1.44599,28.874
3.46959,1.42182,29.0997
3.45555,1.39608,29.2975
3.43838,1.36913,29.4645
3.41828,1.34133,29.5987
3.39549,1.31307,29.6985
3.37029,1.28475,29.7632
3.34298,1.25677,29.7927
3.3139,1.22953,29.7872
3.28338,1.20339,29.7479
3.25179,1.1787,29.6762
3.21949,1.15577,29.574
3.18685,1.13488,29.4436
3.15422,1.11626,29.2875
3.12196,1.10009,29.1082
3.09042,1.08651,28.9087
3.05992,1.07562,28.6916
3.03076,1.06746,28.4597
3.00325,1.06205,28.2159
2.97763,1.05936,27.9626
2.95415,1.05931,27.7024
2.93302,1.06181,27.4378
2.91442,1.06676,27.171
2.8985,1.074,26.9042
2.88539,1.0834,26.6393
2.87517,1.09478,26.3783
2.86791,1.10797,26.123
2.86364,1.12282,25.875
2.86237,1.13913,25.636
2.86408,1.15675,25.4076
2.86872,1.1755,25.1912
2.87624,1.19524,24.9882
2.88655,1.21579,24.8001
2.89954,1.23703,24.6281
2.91509,1.25878,24.4737
2.93307,1.28093,24.338
2.95333,1.30332,24.2223
2.97569,1.32582,24.1279
2.99999,1.34829,24.0559
3.02602,1.37058,24.0073
3.05358,1.39255,23.9833
3.08245,1.41406,23.9846
3.1124,1.43493,24.0123
3.14317,1.455,24.0669
3.17451,1.47411,24.1489
3.20614,1.49207,24.2586
3.23777,1.50869,24.396
3.26911,1.52379,24.5609
3.29985,1.53717,24.7527
3.32966,1.54863,24.9703
3.35824,1.55798,25.2124
3.38525,1.56504,25.4772
3.41038,1.56962,25.7623
3.43331,1.57158,26.065
3.45374,1.57077,26.3821
3.47141,1.56709,26.7097
3.48604,1.56046,27.044
