time,X,Y,Z
1.39,-12.1237,-5.2382,38.147
1.4,-11.3996,-3.94919,37.7629
1.41,-10.616,-2.79099,37.2033
1.42,-9.79304,-1.78102,36.504
1.43,-8.95041,-0.926147,35.7009
1.44,-8.10649,-0.224115,34.8275
1.45,-7.27749,0.334381,33.9123
1.46,-6.47694,0.763447,32.979
1.47,-5.71547,1.07988,32.0455
1.48,-5.00079,1.3014,31.1246
1.49,-4.33799,1.44536,30.225
1.5,-3.72975,1.52784,29.352
1.51,-3.1768,1.56317,28.5081
1.52,-2.6783,1.56368,27.6941
1.53,-2.23216,1.53973,26.9098
1.54,-1.83547,1.4998,26.1541
1.55,-1.4847,1.45067,25.4255
1.56,-1.17598,1.39768,24.7224
1.57,-0.905309,1.34489,24.0433
1.58,-0.668654,1.29538,23.3867
1.59,-0.462095,1.25136,22.7512
1.6,-0.28189,1.2144,22.1357
1.61,-0.124524,1.18558,21.539
1.62,0.0132614,1.16558,20.9603
1.63,0.134452,1.15481,20.3987
1.64,0.241764,1.15347,19.8535
1.65,0.337649,1.16167,19.3243
1.66,0.424312,1.17944,18.8103
1.67,0.50373,1.20677,18.3112
1.68,0.577669,1.2437,17.8266
1.69,0.647716,1.29026,17.356
1.7,0.715293,1.34658,16.8993
1.71,0.781686,1.41285,16.456
1.72,0.848066,1.48934,16.0261
1.73,0.915509,1.57643,15.6093
1.74,0.985019,1.67459,15.2055
1.75,1.05754,1.78442,14.8145
1.76,1.13399,1.90663,14.4365
1.77,1.21525,2.04205,14.0713
1.78,1.3022,2.19164,13.7191
1.79,1.39575,2.35652,13.3801
1.8,1.49679,2.53791,13.0546
1.81,1.60629,2.73723,12.7429
1.82,1.72523,2.95602,12.4456
1.83,1.85467,3.19601,12.1633
1.84,1.99574,3.45908,11.8969
1.85,2.14964,3.74731,11.6474
1.86,2.31767,4.06293,11.4162
1.87,2.50122,4.40839,11.2049
1.88,2.7018,4.78627,11.0154
1.89,2.92103,5.19936,10.8502
1.9,3.16064,5.65057,10.712
1.91,3.42251,6.14293,10.6044
1.92,3.70862,6.67955,10.5315
1.93,4.02107,7.26351,10.4982
1.94,4.36208,7.8978,10.5104
1.95,4.73394,8.58516,10.5749
1.96,5.13897,9.32791,10.7
1.97,5.57953,10.1277,10.895
1.98,6.05786,10.9851,11.1709
1.99,6.57606,11.8992,11.5403
2,7.1359,12.8675,12.0175
2.01,7.7387,13.8844,12.6182
2.02,8.38504,14.9412,13.3599
2.03,9.07456,16.0247,14.2609
2.04,9.80551,17.1167,15.3402
2.05,10.5744,18.1923,16.6159
2.06,11.3756,19.2193,18.104
2.07,12.2005,20.1575,19.816
2.08,13.0374,20.9584,21.7566
2.09,13.8704,21.5658,23.9197
2.1,14.6798,21.9179,26.2849
2.11,15.441,21.9506,28.8141
2.12,16.1256,21.6037,31.4483
2.13,16.7018,20.8277,34.1066
2.14,17.1357,19.5934,36.6886
2.15,17.3942,17.9001,39.0797
2.16,17.4474,15.7834,41.1615
2.17,17.2724,13.3169,42.826
2.18,16.8564,10.6094,43.9899
2.19,16.1994,7.79394,44.6083
2.2,15.3154,5.01167,44.6816
2.21,14.2317,2.39363,44.2556
2.22,12.9867,0.0445235,43.4119
2.23,11.6256,-1.96746,42.2542
2.24,10.196,-3.61313,40.8919
2.25,8.74366,-4.89787,39.4257
2.26,7.30897,-5.85268,37.9387
2.27,5.92474,-6.52392,36.492
2.28,4.61551,-6.96401,35.1256
2.29,3.39768,-7.22455,33.8611
2.3,2.28053,-7.35209,32.7069
2.31,1.26746,-7.38608,31.6619
2.32,0.357361,-7.35849,30.7192
2.33,-0.454122,-7.2943,29.8695
2.34,-1.17351,-7.21246,29.1023
2.35,-1.80863,-7.12698,28.4074
2.36,-2.36797,-7.04794,27.7756
2.37,-2.86016,-6.98245,27.199
2.38,-3.29371,-6.9353,26.6707
2.39,-3.6767,-6.9096,26.1855
2.4,-4.0167,-6.90721,25.739
2.41,-4.3207,-6.92906,25.3281
2.42,-4.59502,-6.97545,24.9501
2.43,-4.84538,-7.04619,24.6036
2.44,-5.07684,-7.14077,24.2873
2.45,-5.2939,-7.25843,24.0008
2.46,-5.50051,-7.39826,23.7437
2.47,-5.7001,-7.5592,23.5164
2.48,-5.89562,-7.74008,23.3192
