time,angle,x,y
2.64,-0.744694,-0.677747,-0.735295
2.66,-0.782908,-0.705344,-0.708865
2.68,-0.787319,-0.708464,-0.705747
2.7,-0.757777,-0.687309,-0.726366
2.72,-0.695297,-0.640613,-0.767864
2.74,-0.602116,-0.566388,-0.824139
2.76,-0.481791,-0.463367,-0.886166
2.78,-0.33926,-0.33279,-0.943001
2.8,-0.180781,-0.179798,-0.983704
2.82,-0.0136845,-0.0136841,-0.999906
2.84,0.154067,0.153459,-0.988155
2.86,0.314465,0.309308,-0.950962
2.88,0.46004,0.443984,-0.896035
2.9,0.584336,0.551646,-0.834078
2.92,0.682196,0.630499,-0.77619
2.94,0.74984,0.681522,-0.731798
2.96,0.784823,0.7067,-0.707514
2.98,0.785937,0.707488,-0.706725
3,0.753146,0.683938,-0.729541
3.02,0.687578,0.634668,-0.772785
3.04,0.591595,0.557685,-0.830052
3.06,0.468884,0.451891,-0.892073
3.08,0.324517,0.318851,-0.947805
3.1,0.16487,0.164124,-0.98644
3.12,-0.00264284,-0.00264284,-0.999997
3.14,-0.170029,-0.169211,-0.98558
3.16,-0.329306,-0.323386,-0.946267
3.18,-0.473085,-0.455635,-0.890167
3.2,-0.595028,-0.560532,-0.828133
3.22,-0.690108,-0.636621,-0.771177
3.24,-0.754679,-0.685055,-0.728491
3.26,-0.786419,-0.707829,-0.706384
3.28,-0.784238,-0.706286,-0.707927
3.3,-0.748208,-0.680326,-0.732909
3.32,-0.679574,-0.628462,-0.77784
3.34,-0.580822,-0.548711,-0.836012
3.36,-0.455773,-0.440157,-0.897921
3.38,-0.309631,-0.304707,-0.952446
3.4,-0.148885,-0.148336,-0.988937
3.42,0.018969,0.0189679,-0.99982
3.44,0.185914,0.184845,-0.982768
3.46,0.344001,0.337256,-0.941413
3.48,0.485925,0.467027,-0.884243
3.5,0.605467,0.569146,-0.822236
3.52,0.697734,0.642483,-0.7663
3.54,0.75921,0.688349,-0.72538
3.56,0.787698,0.708731,-0.705479
3.58,0.78222,0.704856,-0.70935
3.6,0.742963,0.676473,-0.736467
3.62,0.671287,0.621994,-0.783022
3.64,0.569802,0.539466,-0.842008
3.66,0.442464,0.428168,-0.903699
3.68,0.294607,0.290363,-0.956916
3.7,0.132834,0.132443,-0.991191
3.72,-0.0352867,-0.0352793,-0.999377
3.74,-0.201716,-0.200351,-0.979724
3.76,-0.358544,-0.350911,-0.936409
3.78,-0.498555,-0.478157,-0.878275
3.8,-0.61565,-0.57749,-0.816398
3.82,-0.70507,-0.648087,-0.761566
3.84,-0.763431,-0.691405,-0.722468
3.86,-0.788658,-0.709408,-0.704798
3.88,-0.779886,-0.703198,-0.710994
3.9,-0.737415,-0.672376,-0.740209
3.92,-0.66272,-0.615263,-0.788322
3.94,-0.55854,-0.529948,-0.84803
3.96,-0.428962,-0.415927,-0.909398
3.98,-0.279451,-0.275828,-0.961207
4,-0.116722,-0.116457,-0.993196
4.02,0.0515884,0.0515655,-0.99867
4.04,0.217428,0.215718,-0.976456
4.06,0.372929,0.364344,-0.931264
4.08,0.510969,0.489023,-0.872271
4.1,0.625573,0.585562,-0.810628
4.12,0.712115,0.653436,-0.756981
4.14,0.767342,0.694224,-0.719759
4.16,0.789298,0.709859,-0.704344
4.18,0.777236,0.701312,-0.712855
4.2,0.731563,0.668034,-0.744131
4.22,0.653876,0.608268,-0.793732
4.24,0.547038,0.52016,-0.854069
4.26,0.415272,0.403439,-0.915007
4.28,0.264172,0.26111,-0.965309
4.3,0.100558,0.100389,-0.994948
4.32,-0.0678668,-0.0678147,-0.997698
4.34,-0.233042,-0.230938,-0.972968
4.36,-0.387149,-0.37755,-0.925989
4.38,-0.523163,-0.499622,-0.866243
4.4,-0.635233,-0.593365,-0.804934
4.42,-0.718866,-0.658532,-0.752553
4.44,-0.77094,-0.69681,-0.717256
4.46,-0.78962,-0.710086,-0.704115
4.48,-0.77427,-0.699194,-0.714932
4.5,-0.725412,-0.663443,-0.748226
4.52,-0.644758,-0.601005,-0.799245
4.54,-0.535303,-0.510101,-0.860114
4.56,-0.401401,-0.390708,-0.920515
4.58,-0.248775,-0.246216,-0.969215
4.6,-0.0843487,-0.0842487,-0.996445
4.62,0.0841146,0.0840155,-0.996464
4.64,0.248552,0.246,-0.96927
4.66,0.401199,0.390523,-0.920593
4.68,0.535132,0.509954,-0.860202
4.7,0.644625,0.600899,-0.799325
4.72,0.725321,0.663375,-0.748287
4.74,0.774225,0.699162,-0.714963
4.76,0.789622,0.710087,-0.704114
4.78,0.77099,0.696845,-0.717221
4.8,0.718961,0.658603,-0.75249
4.82,0.63537,0.593475,-0.804852
4.84,0.523337,0.499773,-0.866156
4.86,0.387353,0.377739,-0.925912
4.88,0.233266,0.231156,-0.972917
4.9,0.0681014,0.0680488,-0.997682
4.92,-0.100325,-0.100156,-0.994972
4.94,-0.263951,-0.260896,-0.965367
4.96,-0.415073,-0.403257,-0.915087
4.98,-0.546871,-0.520017,-0.854156
5,-0.653747,-0.608165,-0.793811
5.02,-0.731477,-0.667969,-0.744189
5.04,-0.777195,-0.701283,-0.712883
5.06,-0.789305,-0.709864,-0.704339
5.08,-0.767396,-0.694263,-0.719721
