time,angle,x,y
2.66,-0.148918,-0.148368,-0.988932
2.68,-0.195655,-0.194409,-0.980921
2.7,-0.241629,-0.239285,-0.970949
2.72,-0.286664,-0.282754,-0.959192
2.74,-0.33059,-0.324601,-0.945851
2.76,-0.373242,-0.364636,-0.93115
2.78,-0.414463,-0.402698,-0.915333
2.8,-0.454104,-0.438657,-0.898654
2.82,-0.492024,-0.47241,-0.881379
2.84,-0.52809,-0.503884,-0.863771
2.86,-0.562178,-0.53303,-0.846096
2.88,-0.594175,-0.559826,-0.82861
2.9,-0.623976,-0.584266,-0.811562
2.92,-0.651483,-0.606367,-0.795185
2.94,-0.676612,-0.626155,-0.779699
2.96,-0.699283,-0.643669,-0.765304
2.98,-0.719428,-0.658955,-0.752183
3,-0.736988,-0.672061,-0.740496
3.02,-0.751911,-0.683035,-0.730385
3.04,-0.764153,-0.691926,-0.721969
3.06,-0.77368,-0.698773,-0.715344
3.08,-0.780465,-0.70361,-0.710586
3.1,-0.78449,-0.706464,-0.707749
3.12,-0.785742,-0.70735,-0.706864
3.14,-0.784218,-0.706272,-0.707941
3.16,-0.779923,-0.703225,-0.710967
3.18,-0.772869,-0.698192,-0.71591
3.2,-0.763075,-0.691147,-0.722714
3.22,-0.750569,-0.682055,-0.731301
3.24,-0.735386,-0.670874,-0.741572
3.26,-0.717571,-0.657557,-0.753405
3.28,-0.697176,-0.642055,-0.766658
3.3,-0.674261,-0.62432,-0.781168
3.32,-0.648897,-0.604308,-0.796751
3.34,-0.621161,-0.58198,-0.813203
3.36,-0.591141,-0.557309,-0.830305
3.38,-0.558935,-0.530283,-0.84782
3.4,-0.524648,-0.500908,-0.865501
3.42,-0.488395,-0.469209,-0.883087
3.44,-0.450301,-0.435236,-0.900316
3.46,-0.410499,-0.399067,-0.916922
3.48,-0.369131,-0.360805,-0.932641
3.5,-0.326347,-0.320585,-0.94722
3.52,-0.282306,-0.278571,-0.960416
3.54,-0.237171,-0.234954,-0.972006
3.56,-0.191115,-0.189953,-0.981793
3.58,-0.144313,-0.143812,-0.989605
3.6,-0.0969462,-0.0967944,-0.995304
3.62,-0.0492,-0.0491802,-0.99879
3.64,-0.00126089,-0.00126089,-0.999999
3.66,0.0466832,0.0466663,-0.998911
3.68,0.0944442,0.0943038,-0.995543
3.7,0.141835,0.14136,-0.989958
3.72,0.188671,0.187554,-0.982254
3.74,0.234772,0.232621,-0.972567
3.76,0.279959,0.276316,-0.961067
3.78,0.324062,0.31842,-0.94795
3.8,0.366916,0.358738,-0.933438
3.82,0.408362,0.397107,-0.917772
